﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007783","The University of Aberdeen","1,500","8,025","35","210","10","9,775","2,505","1,720","4,225","0","14,000"
"10007849","University of Abertay Dundee","150","3,245","5","105","0","3,505","410","85","500","0","4,005"
"10007856","Aberystwyth University","4,305","50","3,135","65","10","7,565","680","515","1,195","0","8,755"
"10000291","Anglia Ruskin University","17,725","45","95","80","10","17,955","900","2,080","2,980","0","20,935"
"10007759","Aston University","9,835","75","165","25","10","10,115","675","1,685","2,360","0","12,475"
"10007857","Bangor University","4,365","50","3,885","80","40","8,415","420","1,790","2,210","0","10,630"
"10000571","Bath Spa University","6,300","15","445","50","25","6,835","200","595","795","0","7,630"
"10007850","The University of Bath","10,370","120","735","145","80","11,455","1,540","3,160","4,700","0","16,155"
"10007152","University of Bedfordshire","11,660","20","50","55","15","11,800","800","1,800","2,600","0","14,400"
"10005343","Queen's University Belfast","1,090","105","55","19,795","20","21,065","935","1,870","2,805","0","23,870"
"10007760","Birkbeck College","10,910","25","30","10","5","10,975","615","655","1,270","0","12,245"
"10007140","Birmingham City University","20,740","95","320","75","10","21,240","650","2,175","2,820","0","24,065"
"10006840","The University of Birmingham","24,855","210","775","95","180","26,110","1,445","6,175","7,620","105","33,830"
"10000712","University College Birmingham","3,690","5","75","15","5","3,790","635","600","1,235","0","5,025"
"10007811","Bishop Grosseteste University","2,225","0","0","5","0","2,230","0","5","5","0","2,235"
"10006841","The University of Bolton","5,715","10","55","35","0","5,815","150","355","505","0","6,320"
"10000385","The Arts University Bournemouth","2,655","10","45","15","45","2,765","195","280","475","0","3,240"
"10000824","Bournemouth University","15,990","50","240","45","70","16,390","935","1,720","2,655","0","19,045"
"10007785","The University of Bradford","9,430","35","75","35","5","9,575","540","1,095","1,635","0","11,215"
"10000886","The University of Brighton","17,765","55","160","105","145","18,235","1,175","1,725","2,900","0","21,135"
"10007786","The University of Bristol","15,885","185","895","170","50","17,185","1,110","3,610","4,720","0","21,905"
"10000961","Brunel University London","9,440","20","95","25","15","9,600","815","3,750","4,565","0","14,165"
"10000975","Buckinghamshire New University","7,625","30","95","65","5","7,820","570","190","760","0","8,580"
"10007787","The University of Buckingham","1,420","25","25","5","5","1,480","115","805","915","0","2,400"
"10007788","The University of Cambridge","12,240","345","290","230","20","13,135","2,420","4,105","6,525","0","19,660"
"10003324","The Institute of Cancer Research","250","5","0","0","0","260","10","5","20","0","275"
"10001143","Canterbury Christ Church University","15,060","45","55","60","30","15,245","545","260","810","0","16,055"
"10007814","Cardiff University","12,180","120","11,035","175","50","23,560","1,345","5,770","7,115","0","30,675"
"10007854","Cardiff Metropolitan University","3,495","30","5,680","65","25","9,295","375","2,905","3,285","0","12,580"
"10007141","The University of Central Lancashire","21,390","150","275","190","45","22,045","535","1,880","2,415","0","24,460"
"10007848","University of Chester","12,135","50","1,680","130","70","14,060","210","645","855","0","14,915"
"10007137","The University of Chichester","5,250","20","45","10","30","5,355","65","95","160","0","5,520"
"10001478","City, University of London","11,305","60","80","35","10","11,490","2,225","5,280","7,505","0","18,995"
"10001653","Conservatoire for Dance and Drama","805","35","35","5","0","880","180","250","430","0","1,310"
"10007761","Courtauld Institute of Art","305","5","5","0","0","320","80","110","190","0","505"
"10001726","Coventry University","19,330","55","220","90","15","19,710","2,120","7,600","9,720","0","29,430"
"10007822","Cranfield University","1,740","55","70","10","10","1,880","955","1,145","2,100","0","3,980"
"10006427","University for the Creative Arts","4,025","15","40","20","10","4,110","335","365","695","0","4,805"
"10007842","University of Cumbria","7,850","305","105","275","20","8,555","125","105","235","0","8,790"
"10001883","De Montfort University","17,725","70","200","65","25","18,085","645","2,175","2,820","0","20,905"
"10007851","University of Derby","14,630","155","190","80","25","15,075","615","610","1,225","0","16,300"
"10007852","The University of Dundee","2,335","9,390","85","690","25","12,530","1,025","1,355","2,385","0","14,910"
"10007143","University of Durham","12,245","225","275","180","95","13,020","1,020","3,770","4,790","0","17,810"
"10007789","The University of East Anglia","11,855","40","125","75","25","12,120","785","3,240","4,025","0","16,145"
"10007144","The University of East London","12,145","35","80","50","20","12,335","455","825","1,285","10","13,630"
"10007823","Edge Hill University","14,625","30","335","220","65","15,280","125","135","260","0","15,540"
"10007772","Edinburgh Napier University","905","8,770","25","295","10","10,005","1,620","955","2,575","0","12,585"
"10007790","The University of Edinburgh","7,700","11,100","220","475","75","19,565","3,515","7,275","10,785","0","30,355"
"10007791","The University of Essex","9,175","35","80","40","5","9,335","1,705","2,755","4,460","0","13,795"
"10007792","The University of Exeter","15,030","125","840","110","115","16,220","1,330","4,120","5,445","0","21,670"
"10008640","Falmouth University","4,070","15","130","25","25","4,265","120","265","385","0","4,655"
"10004511","The National Film and Television School","150","10","0","5","0","165","45","25","70","0","240"
"10007762","Glasgow Caledonian University","625","13,700","30","175","5","14,535","700","1,345","2,045","0","16,580"
"10002681","Glasgow School of Art","440","910","15","35","0","1,400","285","375","660","0","2,060"
"10007794","The University of Glasgow","2,840","15,950","75","705","15","19,585","3,055","4,575","7,635","0","27,220"
"10007145","University of Gloucestershire","6,865","20","435","95","15","7,430","75","330","405","0","7,835"
"10007833","Glyndŵr University","1,345","25","4,290","25","0","5,690","545","425","970","0","6,660"
"10002718","Goldsmiths College","6,180","45","85","30","10","6,345","785","1,395","2,180","0","8,525"
"10007146","The University of Greenwich","16,210","70","100","65","15","16,455","1,305","2,885","4,190","0","20,645"
"10007825","Guildhall School of Music and Drama","550","35","30","10","5","630","175","130","300","0","930"
"10040812","Harper Adams University","4,495","245","425","170","10","5,350","85","140","225","0","5,575"
"10007764","Heriot-Watt University","1,730","5,055","40","375","10","7,210","940","2,310","3,250","5","10,460"
"10007147","University of Hertfordshire","20,545","75","145","60","40","20,860","840","2,940","3,780","15","24,655"
"10007765","Heythrop College","485","5","5","5","0","495","20","45","65","0","560"
"10007148","The University of Huddersfield","15,930","35","105","50","30","16,150","840","2,285","3,125","0","19,270"
"10007149","The University of Hull","13,720","45","95","50","10","13,920","630","1,755","2,385","0","16,305"
"10003270","Imperial College of Science, Technology and Medicine","8,050","185","180","85","10","8,515","2,765","5,760","8,520","0","17,035"
"10007767","Keele University","8,260","50","295","60","20","8,685","185","1,255","1,440","0","10,120"
"10007150","The University of Kent","14,600","50","120","40","65","14,870","1,810","2,985","4,795","0","19,670"
"10003645","King's College London","19,350","165","330","120","35","19,995","3,560","5,345","8,905","0","28,900"
"10003678","Kingston University","16,820","65","215","60","20","17,180","1,135","2,570","3,705","0","20,885"
"10007768","The University of Lancaster","8,110","100","285","45","55","8,590","1,345","3,180","4,525","0","13,115"
"10003854","Leeds Arts University","1,210","10","20","10","5","1,255","15","45","65","0","1,320"
"10003861","Leeds Beckett University","23,535","125","265","180","60","24,170","400","1,355","1,750","0","25,920"
"10007795","The University of Leeds","24,480","170","360","140","55","25,205","1,270","5,315","6,585","0","31,790"
"10003863","Leeds Trinity University","3,605","5","15","35","0","3,665","30","20","55","0","3,715"
"10007796","The University of Leicester","11,520","120","295","50","35","12,025","690","3,610","4,300","0","16,325"
"10007151","The University of Lincoln","11,870","70","75","30","15","12,070","220","1,180","1,405","5","13,475"
"10003956","Liverpool Hope University","4,005","15","150","550","20","4,735","100","105","205","0","4,940"
"10003957","Liverpool John Moores University","17,470","60","1,295","1,570","70","20,465","320","1,095","1,410","0","21,875"
"10003945","The Liverpool Institute for Performing Arts","500","15","25","10","5","560","15","140","160","0","720"
"10006842","The University of Liverpool","15,905","65","945","445","100","17,460","710","6,605","7,315","0","24,775"
"10003958","Liverpool School of Tropical Medicine","220","25","10","10","0","260","30","135","165","0","425"
"10007162","University of the Arts, London","9,390","110","155","60","30","9,740","2,330","6,135","8,465","0","18,205"
"10007769","London Business School","610","5","0","0","5","620","370","1,085","1,455","0","2,075"
"10007797","University of London (Institutes and activities)","120","0","0","0","0","125","25","50","75","0","195"
"10004048","London Metropolitan University","10,945","40","90","40","5","11,115","1,090","480","1,575","0","12,690"
"10004078","London South Bank University","15,565","20","70","40","5","15,705","650","1,250","1,905","0","17,605"
"10004063","London School of Economics and Political Science","3,370","45","65","35","10","3,520","1,765","5,155","6,920","0","10,440"
"10007771","London School of Hygiene and Tropical Medicine","635","10","10","5","0","655","110","440","550","0","1,210"
"10004113","Loughborough University","12,785","130","375","100","65","13,460","795","2,695","3,490","0","16,950"
"10004180","The Manchester Metropolitan University","28,695","140","880","415","60","30,190","1,030","1,270","2,300","0","32,485"
"10007798","The University of Manchester","25,035","305","935","455","60","26,785","2,355","10,560","12,915","0","39,700"
